,,,(%),,IBT formula,,,,,,,,64,64,64,32,32,32
Avg Packet Size,Bw ,Ports,Loss Rate,E(Packets lost),Cells per digest,Digest Size KB,Switch Memory (MB),Number cells 32 bits,Number cells 64 bits,# Registers 32,# Registers 64,Stages/Tofino1,Time to read,Time to reset,total time,Time to read,Time to reset,total time
256,100,32,1,4882.8125,6347.65625,99.18212891,12.397766,3250000.000000,1625000.000000,22.670201,22.670201,16.882064,0.209359,0.009271,0.218630,0.357951,0.009304,0.367255
512,100,32,0.1,244.140625,317.3828125,4.959106445,0.619888,162500.000000,81250.000000,1.133510,1.133510,0.844103,0.010468,0.009271,0.019739,0.017898,0.009304,0.027202
512,100,32,0.2,488.28125,634.765625,9.918212891,1.239777,325000.000000,162500.000000,2.267020,2.267020,1.688206,0.020936,0.009271,0.030207,0.035795,0.009304,0.045099
512,100,32,0.3,732.421875,952.1484375,14.87731934,1.859665,487500.000000,243750.000000,3.400530,3.400530,2.532310,0.031404,0.009271,0.040675,0.053693,0.009304,0.062997
512,100,32,0.4,976.5625,1269.53125,19.83642578,2.479553,650000.000000,325000.000000,4.534040,4.534040,3.376413,0.041872,0.009271,0.051143,0.071590,0.009304,0.080894
512,100,32,0.5,1220.703125,1586.914063,24.79553223,3.099442,812500.000000,406250.000000,5.667550,5.667550,4.220516,0.052340,0.009271,0.061611,0.089488,0.009304,0.098792
512,100,32,0.6,1464.84375,1904.296875,29.75463867,3.719330,975000.000000,487500.000000,6.801060,6.801060,5.064619,0.062808,0.009271,0.072079,0.107385,0.009304,0.116689
512,100,32,0.7,1708.984375,2221.679688,34.71374512,4.339218,1137500.000000,568750.000000,7.934570,7.934570,5.908723,0.073276,0.009271,0.082547,0.125283,0.009304,0.134587
512,100,32,0.8,1953.125,2539.0625,39.67285156,4.959106,1300000.000000,650000.000000,9.068080,9.068080,6.752826,0.083744,0.009271,0.093015,0.143180,0.009304,0.152484
512,100,32,0.9,2197.265625,2856.445313,44.63195801,5.578995,1462500.000000,731250.000000,10.201590,10.201590,7.596929,0.094212,0.009271,0.103483,0.161078,0.009304,0.170382
512,100,32,1,2441.40625,3173.828125,49.59106445,6.198883,1625000.000000,812500.000000,11.335100,11.335100,8.441032,0.104680,0.009271,0.113951,0.178976,0.009304,0.188280
1024,100,32,0.1,122.0703125,158.6914063,2.479553223,0.309944,81250.000000,40625.000000,0.566755,0.566755,0.422052,0.005234,0.005254,0.010488,0.008949,0.005273,0.014222
1024,100,32,0.2,244.140625,317.3828125,4.959106445,0.619888,162500.000000,81250.000000,1.133510,1.133510,0.844103,0.010468,0.009271,0.019739,0.017898,0.009304,0.027202
1024,100,32,0.3,366.2109375,476.0742188,7.438659668,0.929832,243750.000000,121875.000000,1.700265,1.700265,1.266155,0.015702,0.009271,0.024973,0.026846,0.009304,0.036150
1024,100,32,0.4,488.28125,634.765625,9.918212891,1.239777,325000.000000,162500.000000,2.267020,2.267020,1.688206,0.020936,0.009271,0.030207,0.035795,0.009304,0.045099
1024,100,32,0.5,610.3515625,793.4570313,12.39776611,1.549721,406250.000000,203125.000000,2.833775,2.833775,2.110258,0.026170,0.009271,0.035441,0.044744,0.009304,0.054048
1024,100,32,0.6,732.421875,952.1484375,14.87731934,1.859665,487500.000000,243750.000000,3.400530,3.400530,2.532310,0.031404,0.009271,0.040675,0.053693,0.009304,0.062997
1024,100,32,0.7,854.4921875,1110.839844,17.35687256,2.169609,568750.000000,284375.000000,3.967285,3.967285,2.954361,0.036638,0.009271,0.045909,0.062641,0.009304,0.071945
1024,100,32,0.8,976.5625,1269.53125,19.83642578,2.479553,650000.000000,325000.000000,4.534040,4.534040,3.376413,0.041872,0.009271,0.051143,0.071590,0.009304,0.080894
1024,100,32,0.9,1098.632813,1428.222656,22.315979,2.789497,731250.000000,365625.000000,5.100795,5.100795,3.798465,0.047106,0.009271,0.056377,0.080539,0.009304,0.089843
